Epoch,Learning Rate,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,0.010588243395404002,2.0752749141219935,1.9016577833017725,24.33,31.63
1,0.010895091041740156,1.817929847923386,1.8076562987771003,35.402,35.62
2,0.012728107196098019,1.7019949875524283,1.6505195973025766,39.864,41.53
3,0.012900361084739503,1.6176034442299163,1.6131214784209136,42.612,42.29
4,0.013048102302978936,1.556590256940983,1.5759676937844342,44.838,44.44
5,0.012160128168621765,1.505494796254141,1.4971089727559668,46.63,46.6
6,0.011968492951429894,1.4655249948086946,1.4739577762640206,48.104,46.94
7,0.013150478219141642,1.4313612743411832,1.6042949948341223,49.104,43.37
8,0.0070758000096579066,1.3770131609019112,1.3932654113526557,51.35,50.59
9,0.006345806255500441,1.3516679969437593,1.3698126221917997,52.24,52.17
10,0.006539457236722387,1.33020915902789,1.3909867151527648,52.878,50.82
11,0.007016827565869581,1.3136001003672704,1.335021667419725,53.448,52.63
12,0.007224745793683482,1.2911051085690404,1.3205683299690296,54.32,53.12
13,0.005302805426522473,1.2604768032308125,1.3116167282602589,55.408,53.2
14,0.0029305855310713643,1.2343786849695093,1.2962985646193195,56.382,54.42
15,0.0029293844474166204,1.219458421554102,1.288480506581106,56.868,54.67
16,0.0027980275418975956,1.2090203616472766,1.2825015764327565,57.296,54.77
17,0.002391524263024028,1.1919934718352754,1.2706656452197178,58.106,55.05
18,0.0021600935431765494,1.1873919976031995,1.2695046131777916,58.128,54.72
19,0.0019536507038589055,1.173394113779068,1.265766104695144,58.48,55.3
20,0.0019607354197548397,1.1704905870015665,1.2507224671400277,58.956,55.57
21,0.0022101490094793576,1.1637054036188004,1.25073010374786,58.912,55.73
22,0.0021270161846487032,1.151549276259854,1.2471469128207795,59.274,55.91
23,0.002540272751158319,1.148592878333138,1.2393298642650532,59.494,55.88
24,0.0029245343881704887,1.1410440346011725,1.2398462906764571,59.814,56.12
25,0.0024941178636102984,1.1298802924887907,1.2310314808681513,60.134,56.33
26,0.0023408674514230686,1.1221005232132915,1.2358504636272503,60.34,55.7
27,0.002740040602520477,1.111777569098241,1.2304170424011862,60.572,56.28
28,0.003225420223108497,1.1087042599382912,1.2163409332560886,60.954,56.39
29,0.0030652854378219524,1.1001477638626342,1.2120126497214008,61.118,56.45
30,0.004925323633954892,1.100179167049925,1.2273381230937448,61.034,56.38
31,0.004429914203124906,1.0820380454630498,1.2154107720229277,61.72,57.48
32,0.0034375345075122027,1.0536562629672876,1.221194401288488,62.836,57.12
33,0.004863255758289538,1.0540098521258214,1.197308335334632,62.95,57.4
34,0.0048333426741679454,1.0425171980162715,1.1835112233830105,63.366,58.05
35,0.004228585100021418,1.0216677589794558,1.181485675702429,64.06,58.01
36,0.004902231707748184,1.012295942477253,1.1821974189418136,64.202,58.41
37,0.003533136618358245,0.9867099435128215,1.1599382143111745,65.274,58.84
38,0.0026448255578738183,0.9659956713466693,1.167132338900475,66.036,59.53
39,0.0029588001013641767,0.9579612125673562,1.156767901721274,66.192,59.37
40,0.002494361728392794,0.9430835739425991,1.1547678784959634,66.952,59.39
41,0.0028188572807466452,0.9385028335139575,1.1668831455479762,67.104,59.2
42,0.002940771288676643,0.9299829239430635,1.1711272460639857,67.404,59.39
43,0.001840597117978349,0.9112979592112325,1.1460269978091975,67.888,59.85
44,0.0013440995196824224,0.8959011805179479,1.1483780350654749,68.67,59.81
45,0.00117125429982356,0.8885237159174116,1.142159078910852,68.838,59.91
46,0.0015554654820486209,0.8852471595682452,1.1501913275688318,69.054,59.89
47,0.001888087526588085,0.8849886186287531,1.1595961956461525,69.174,59.49
48,0.0020316689292182027,0.8806052521976364,1.1449734302842693,69.134,60.19
49,0.001802270991246573,0.8712279966191563,1.136619437652029,69.614,61.02
50,0.0014150812059115548,0.8584095414184854,1.1343755084238234,69.932,60.26
51,0.0018656855745338439,0.8569815700392589,1.1479821243103903,69.946,60.07
52,0.0020813833309789643,0.8530493505165705,1.131346906825995,70.218,60.6
53,0.001080513854575931,0.832624171129273,1.130895728518249,70.956,60.7
54,0.0008985321026971469,0.8282240138334387,1.1326187480786802,71.108,60.63
55,0.0007572861655837502,0.8254107581761182,1.118636185576202,71.21,61.59
56,0.0006398573704825217,0.8175071716079931,1.137889788788595,71.752,61.21
57,0.0004548156389837032,0.8137836818347501,1.12063584585858,71.798,61.55
58,0.0005734700828847832,0.8131565812908476,1.1242902928097234,71.456,61.14
59,0.0005611656169156614,0.8087088043808632,1.1415247693183317,71.826,60.33
60,0.000458832155441019,0.8054277305407902,1.1338175383343059,71.922,61.08
61,0.0004174212756216944,0.8018174221753465,1.1300445916546378,72.016,61.33
62,0.0005609756426226068,0.8057812546830043,1.1350689769550493,71.894,61.24
63,0.0004960932702694521,0.7979675718890432,1.119921629216261,72.232,60.97
64,0.00043378011801270815,0.7964344542959462,1.126852768621627,72.316,60.69
65,0.0004769983084248789,0.7946968138827692,1.1253856705252532,72.174,61.17
66,0.0004857250185528459,0.7928350539234899,1.1319328994508002,72.3,61.05
67,0.0005039109320384189,0.788389718898422,1.1250655279038058,72.468,61.18
68,0.000417717557766552,0.7881175059720379,1.1285241306967038,72.444,60.65
69,0.00040503519827577995,0.7857000570163093,1.12115265381564,72.81,61.52
70,0.0004776932638294821,0.7883392613181068,1.1180404758757088,72.452,61.8
71,0.0005892114256202192,0.7864303061800539,1.1287149786949158,72.664,61.1
72,0.00044235136519786805,0.7809238903357855,1.1294086013629938,72.802,60.72
73,0.0005031949121421247,0.7788606169431106,1.1401245248545506,72.9,60.59
74,0.00040673822909591,0.7750948804723637,1.1348872659312692,73.28,61.0
75,0.0004918077456063457,0.7710894807753965,1.1403617027458872,73.244,60.98
76,0.0004036512854352878,0.7766396082804331,1.1393955057593668,73.094,61.06
77,0.0003304854180995559,0.7701741424972749,1.1366685215075305,73.074,60.79
78,0.00032400153884618987,0.7698098158516238,1.136613330643648,73.268,60.96
79,0.00028608108606085873,0.7697841127586487,1.1286137415345308,73.158,61.12
80,0.0002204901397589035,0.7661962016769077,1.1243134190322488,73.286,61.63
81,0.0002869023918734213,0.7641342698460649,1.1278717377383238,73.378,61.26
82,0.00025000335525838033,0.7650156554282473,1.125166479569332,73.162,61.04
83,0.0003361197307649251,0.7611295769129263,1.1292259943713048,73.54,61.09
84,0.00035969116449456736,0.760322309706522,1.1342054483996835,73.594,60.9
85,0.00035686636827999727,0.7592957324307897,1.1318604448798355,73.248,61.69
86,0.0003310134155960865,0.7578630614311189,1.1313611713184673,73.728,61.21
87,0.00047771751374597947,0.7580039058728596,1.1322972990904645,73.924,61.59
88,0.00047221621138812957,0.7583522254320056,1.1393952810080947,73.728,60.74
89,0.00047607662890256964,0.7558206337339738,1.1251736400993007,73.626,61.06
90,0.0004550888564405616,0.7526624052192245,1.1207190657117565,73.752,61.6
91,0.0003850208042928907,0.7508544073918896,1.1287993196469204,73.654,61.23
92,0.0003867678947803828,0.7521277639414649,1.1353936210559432,73.782,61.12
93,0.00048683752528876415,0.7484191708705005,1.1313451638646945,73.914,60.98
