Epoch,Learning Rate,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,0.01,0.752919762230504,0.3046095472683383,78.69666666666667,90.79
1,0.01,0.2552946885027039,0.20182743869057507,92.35666666666667,93.8
2,0.01,0.19468716886649126,0.16773055642724607,94.15166666666667,94.98
3,0.01,0.16800610334979796,0.1522376446563537,94.82,95.43
4,0.01,0.14964526727287245,0.14440389906922296,95.45666666666666,95.43
5,0.01,0.1361846887369527,0.13554173382592333,95.79833333333333,95.65
6,0.01,0.12793763781260295,0.12575773981245603,96.09666666666666,95.97
7,0.01,0.11993639622785167,0.1212112132406491,96.30666666666667,96.23
8,0.01,0.11541691040401773,0.11756204861100573,96.47666666666667,96.29
9,0.01,0.10864684407783946,0.12086607746640517,96.56333333333333,96.18
10,0.01,0.10628914964377388,0.10840463182283862,96.69833333333334,96.6
11,0.01,0.10031809070671815,0.12521173930015106,96.87666666666667,96.08
12,0.01,0.097584799972615,0.10607944506147853,96.92833333333333,96.85
13,0.01,0.09393807269507713,0.11845581947787291,97.12833333333333,96.38
14,0.01,0.09138735295779733,0.10318911926610289,97.17,96.97
15,0.01,0.08987544495577632,0.1019643783865194,97.19666666666667,97.02
16,0.01,0.08695717253781823,0.10582721226138306,97.24166666666666,96.66
17,0.01,0.08261566577620233,0.09174419070110555,97.405,96.93
18,0.01,0.08168013641453867,0.09828892667113454,97.46333333333334,97.02
19,0.01,0.07980067316623432,0.09531833044072364,97.49166666666666,96.85
20,0.01,0.07733675336508926,0.08795368069023558,97.57333333333334,97.3
21,0.01,0.07692027303761542,0.08907071135976725,97.55333333333333,97.3
22,0.01,0.07356641164321556,0.09039125001376086,97.66333333333333,97.37
23,0.01,0.07165941508111558,0.08678275821834304,97.71833333333333,97.31
24,0.01,0.0694954364797843,0.09921893841738273,97.71333333333334,97.18
25,0.01,0.06783840925033603,0.09587332040162692,97.79833333333333,97.0
26,0.01,0.06649246874542386,0.08129434301525319,97.85833333333333,97.5
27,0.01,0.06687817364575654,0.08544238130109694,97.84666666666666,97.32
28,0.01,0.06506905173793483,0.0847886998241969,97.89833333333333,97.43
29,0.01,0.06466203429492941,0.08933413083699182,97.93833333333333,97.15
30,0.01,0.06283668821567356,0.08426102833113497,97.98666666666666,97.4
31,0.01,0.0607335991938529,0.09384993898532513,98.01,97.22
32,0.01,0.061103702660080104,0.08661467293877997,98.045,97.43
33,0.01,0.05973934572833434,0.09082565905902962,98.08166666666666,97.38
34,0.01,0.05956521860536323,0.0983289699741212,98.055,96.95
35,0.01,0.055842835911368925,0.08023609471997502,98.19333333333333,97.4
36,0.01,0.05514790693512445,0.07935144038979189,98.22166666666666,97.66
37,0.01,0.05565973194038023,0.08130439349255898,98.25666666666666,97.55
38,0.01,0.05346300149225255,0.08644977436885891,98.36333333333333,97.5
39,0.01,0.052868324608332525,0.08437597273350664,98.27,97.44
40,0.01,0.05153008872731976,0.08112690114686087,98.37166666666667,97.48
41,0.01,0.04933751873703781,0.0894738321276352,98.36333333333333,97.33
42,0.01,0.050481273248461064,0.0863310667259061,98.31166666666667,97.38
43,0.01,0.04790904462327069,0.08110775051332245,98.43,97.39
44,0.01,0.0501488669043673,0.07593758702986268,98.36166666666666,97.78
45,0.01,0.04736584567748852,0.0825092494278289,98.5,97.39
46,0.01,0.04792601320205499,0.07935887098680904,98.40833333333333,97.82
47,0.01,0.0462090723163911,0.07610374087144126,98.515,97.65
48,0.01,0.04692595893840319,0.07867777328415489,98.46333333333334,97.61
49,0.01,0.0435807735263643,0.08148207208349305,98.51,97.58
50,0.01,0.045037493727275175,0.0739669426936422,98.54666666666667,97.87
51,0.01,0.04350312897572611,0.08196871911365002,98.51666666666667,97.62
52,0.01,0.04200563645042451,0.0803941291944898,98.54833333333333,97.69
53,0.01,0.04085239066334286,0.07674817198529324,98.63166666666666,97.85
54,0.01,0.04085453731471549,0.06985325702676656,98.63,97.93
55,0.01,0.042135959373477264,0.07463209676926297,98.635,97.83
56,0.01,0.03953040869539675,0.08094840343696047,98.69333333333333,97.55
57,0.01,0.04053810377636784,0.07641221550189457,98.665,97.76
58,0.01,0.04038709656845258,0.08173429917701325,98.73333333333333,97.62
59,0.01,0.03835633117407719,0.08142589065308385,98.69,97.63
60,0.01,0.03806499265332166,0.07764612231366515,98.75,97.78
61,0.01,0.03946353043782026,0.08027434669035356,98.63666666666667,97.51
62,0.01,0.03683643444643062,0.08249424932640236,98.78333333333333,97.67
63,0.01,0.03764340196018055,0.07988609940241459,98.73,97.82
64,0.01,0.03711244489499695,0.08119054182167877,98.745,97.78
65,0.01,0.03552986334250775,0.07888847935772768,98.83333333333333,97.78
66,0.01,0.03585923315011717,0.07359746820997791,98.77833333333334,97.83
67,0.01,0.03554634977203321,0.06887148463598802,98.77166666666666,97.93
68,0.01,0.033448386892886345,0.07957375396529115,98.91666666666667,97.93
69,0.01,0.033882885767796786,0.07326032654297016,98.91,97.72
70,0.01,0.03250941722017121,0.0816188621504164,98.94333333333333,97.7
71,0.01,0.03452579441550088,0.07579975122083342,98.81833333333333,97.82
72,0.01,0.032506095940466356,0.07505772286697193,98.96666666666667,97.96
73,0.01,0.030452925204259674,0.07374077913313169,98.97166666666666,97.95
74,0.01,0.03406702095327694,0.08149676292224128,98.88166666666666,97.84
75,0.01,0.030954844373528276,0.07626499401317957,99.01333333333334,97.8
76,0.01,0.03079490248823905,0.07520215866587104,98.945,97.91
77,0.01,0.030022707797633087,0.071704583056234,98.975,97.97
78,0.01,0.030670385089992577,0.08327363467045651,98.93166666666667,97.84
79,0.01,0.029742675182291182,0.07240561068780604,98.93833333333333,97.75
80,0.01,0.02879219966655625,0.0774834744862943,99.03,97.88
81,0.01,0.02925788506136106,0.08028088532527056,99.00833333333334,97.97
82,0.01,0.02950919647942479,0.07999896123598606,99.04166666666667,97.63
83,0.01,0.028093708723139113,0.07462916113248066,99.01833333333333,97.95
84,0.01,0.028998504059504906,0.07892346699956795,98.98833333333333,97.82
85,0.01,0.028311211866441307,0.07693835337398645,99.03333333333333,97.73
86,0.01,0.027177214517593452,0.07076373499514874,99.10833333333333,97.98
87,0.01,0.027562907556470766,0.08006706969255646,99.04166666666667,97.9
88,0.01,0.028044188055422043,0.0786287960702556,99.07166666666667,97.73
89,0.01,0.027864559432183866,0.08497654103005163,99.04666666666667,97.8
90,0.01,0.02546479308080779,0.07741597762361861,99.12333333333333,97.88
91,0.01,0.025347362153187045,0.07697929880344702,99.15333333333334,97.82
92,0.01,0.02580512047434764,0.07137584000207473,99.15,98.06
93,0.01,0.02457964423222781,0.07877882607078918,99.19,97.72
94,0.01,0.026001306432512784,0.07501643376673682,99.09166666666667,97.88
95,0.01,0.026598889531145968,0.08211805473487183,99.125,97.78
96,0.01,0.02459106103999035,0.07999545627072117,99.195,97.9
97,0.01,0.02368952437748399,0.07691458418208455,99.17833333333333,97.91
98,0.01,0.02561655679080913,0.08218305295320383,99.12833333333333,97.86
99,0.01,0.023803387348577856,0.07734292044194847,99.16166666666666,98.1
